sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
47,34.84.127.58,160.76278686523438,409.85798835754395,249.09520149230957,PROXY
48,34.84.127.58,157.70602226257324,410.2180004119873,252.51197814941406,PROXY
49,34.84.127.58,159.8367691040039,410.69889068603516,250.86212158203125,PROXY
50,34.84.127.58,157.45210647583008,412.85085678100586,255.39875030517578,PROXY
51,34.84.127.58,158.01191329956055,406.75902366638184,248.7471103668213,PROXY
52,34.84.127.58,156.8150520324707,408.9469909667969,252.13193893432617,PROXY
53,34.84.127.58,161.1790657043457,409.58189964294434,248.40283393859863,PROXY
54,34.84.127.58,160.07208824157715,409.35802459716797,249.28593635559082,PROXY
55,34.84.127.58,162.6582145690918,282.18603134155273,119.52781677246094,PROXY
56,34.84.127.58,162.445068359375,280.42101860046387,117.97595024108887,PROXY
57,34.84.127.58,161.44394874572754,281.2800407409668,119.83609199523926,PROXY
58,34.84.127.58,160.9790325164795,283.311128616333,122.33209609985352,PROXY
59,34.84.127.58,156.4018726348877,282.84287452697754,126.44100189208984,PROXY
60,34.84.127.58,160.54487228393555,309.97705459594727,149.43218231201172,PROXY
61,34.84.127.58,160.83502769470215,314.3329620361328,153.49793434143066,PROXY
62,34.84.127.58,161.93294525146484,313.3120536804199,151.37910842895508,PROXY
63,34.84.127.58,162.75286674499512,314.971923828125,152.21905708312988,PROXY
64,34.84.127.58,162.92619705200195,312.63208389282227,149.7058868408203,PROXY
65,34.84.127.58,160.9821319580078,326.3559341430664,165.3738021850586,PROXY
66,34.84.127.58,158.0369472503662,331.5320014953613,173.49505424499512,PROXY
67,34.84.127.58,158.69498252868652,324.7871398925781,166.0921573638916,PROXY
68,34.84.127.58,160.4781150817871,328.97496223449707,168.49684715270996,PROXY
69,34.84.127.58,158.74409675598145,323.915958404541,165.17186164855957,PROXY
70,34.84.127.58,161.43083572387695,310.41812896728516,148.9872932434082,PROXY
71,34.84.127.58,158.00094604492188,311.7649555206299,153.764009475708,PROXY
72,34.84.127.58,161.3311767578125,311.2750053405762,149.94382858276367,PROXY
73,34.84.127.58,159.48200225830078,312.000036239624,152.51803398132324,PROXY
74,34.84.127.58,158.18285942077637,312.3629093170166,154.18004989624023,PROXY
75,34.84.127.58,159.44385528564453,319.5071220397949,160.0632667541504,PROXY
76,34.84.127.58,159.24406051635742,316.2698745727539,157.02581405639648,PROXY
77,34.84.127.58,158.04100036621094,317.4400329589844,159.39903259277344,PROXY
78,34.84.127.58,157.58395195007324,313.27009201049805,155.6861400604248,PROXY
79,34.84.127.58,160.19082069396973,312.9260540008545,152.73523330688477,PROXY
80,34.84.127.58,161.23580932617188,432.9721927642822,271.73638343811035,PROXY
81,34.84.127.58,162.30201721191406,434.4918727874756,272.1898555755615,PROXY
82,34.84.127.58,159.9729061126709,433.0108165740967,273.0379104614258,PROXY
83,34.84.127.58,158.0791473388672,433.5038661956787,275.4247188568115,PROXY
84,34.84.127.58,159.29508209228516,426.82600021362305,267.5309181213379,PROXY
85,34.84.127.58,160.1419448852539,359.8289489746094,199.68700408935547,PROXY
86,34.84.127.58,159.45005416870117,360.6259822845459,201.17592811584473,PROXY
87,34.84.127.58,159.3630313873291,363.5091781616211,204.146146774292,PROXY
88,34.84.127.58,158.7808132171631,363.3460998535156,204.56528663635254,PROXY
89,34.84.127.58,160.59303283691406,364.06993865966797,203.4769058227539,PROXY
90,34.84.127.58,157.3789119720459,281.8770408630371,124.49812889099121,PROXY
91,34.84.127.58,159.83009338378906,282.9761505126953,123.14605712890625,PROXY
92,34.84.127.58,157.30810165405273,278.566837310791,121.25873565673828,PROXY
93,34.84.127.58,157.46307373046875,277.3470878601074,119.88401412963867,PROXY
94,34.84.127.58,156.61287307739258,275.96378326416016,119.35091018676758,PROXY
95,34.84.127.58,158.00714492797852,279.8910140991211,121.88386917114258,PROXY
96,34.84.127.58,158.57791900634766,280.05099296569824,121.47307395935059,PROXY
97,34.84.127.58,161.82494163513184,282.00292587280273,120.1779842376709,PROXY
98,34.84.127.58,160.58802604675293,279.36506271362305,118.77703666687012,PROXY
99,34.84.127.58,158.7209701538086,280.52306175231934,121.80209159851074,PROXY
100,34.84.127.58,160.9201431274414,284.5191955566406,123.59905242919922,PROXY
101,34.84.127.58,162.96100616455078,285.3689193725586,122.40791320800781,PROXY
102,34.84.127.58,162.76001930236816,287.7950668334961,125.03504753112793,PROXY
103,34.84.127.58,162.0810031890869,287.34397888183594,125.26297569274902,PROXY
104,34.84.127.58,158.49995613098145,288.7542247772217,130.25426864624023,PROXY
105,34.84.127.58,159.714937210083,272.9759216308594,113.26098442077637,PROXY
106,34.84.127.58,158.84804725646973,273.7429141998291,114.89486694335938,PROXY
107,34.84.127.58,159.7750186920166,278.34105491638184,118.56603622436523,PROXY
108,34.84.127.58,156.3260555267334,273.33807945251465,117.01202392578125,PROXY
109,34.84.127.58,159.77883338928223,274.51109886169434,114.73226547241211,PROXY
110,34.84.127.58,157.6249599456787,433.5908889770508,275.96592903137207,PROXY
111,34.84.127.58,161.78417205810547,431.55407905578613,269.76990699768066,PROXY
112,34.84.127.58,157.88698196411133,435.28294563293457,277.39596366882324,PROXY
113,34.84.127.58,160.22205352783203,432.42883682250977,272.20678329467773,PROXY
114,34.84.127.58,160.54081916809082,430.3281307220459,269.7873115539551,PROXY
115,34.84.127.58,158.74600410461426,315.11783599853516,156.3718318939209,PROXY
116,34.84.127.58,160.23802757263184,315.828800201416,155.59077262878418,PROXY
117,34.84.127.58,161.09991073608398,317.08288192749023,155.98297119140625,PROXY
118,34.84.127.58,163.3751392364502,318.47190856933594,155.09676933288574,PROXY
119,34.84.127.58,162.2769832611084,317.7609443664551,155.48396110534668,PROXY
120,34.84.127.58,160.30192375183105,497.29299545288086,336.9910717010498,PROXY
121,34.84.127.58,159.25908088684082,498.11720848083496,338.85812759399414,PROXY
122,34.84.127.58,160.7198715209961,488.361120223999,327.64124870300293,PROXY
123,34.84.127.58,159.7909927368164,483.6888313293457,323.8978385925293,PROXY
124,34.84.127.58,158.51402282714844,488.0549907684326,329.5409679412842,PROXY
125,34.84.127.58,158.13088417053223,286.41796112060547,128.28707695007324,PROXY
126,34.84.127.58,157.87410736083984,287.5101566314697,129.63604927062988,PROXY
127,34.84.127.58,160.8288288116455,286.7729663848877,125.94413757324219,PROXY
128,34.84.127.58,159.21688079833984,285.9809398651123,126.76405906677246,PROXY
129,34.84.127.58,158.22696685791016,286.4558696746826,128.22890281677246,PROXY
130,34.84.127.58,163.6180877685547,345.1089859008789,181.49089813232422,PROXY
