sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
32,34.84.127.58,159.94501113891602,281.99291229248047,122.04790115356445,PROXY
33,34.84.127.58,156.7981243133545,329.5319080352783,172.73378372192383,PROXY
34,34.84.127.58,159.94596481323242,307.2500228881836,147.30405807495117,PROXY
35,34.84.127.58,159.1188907623291,274.28197860717773,115.16308784484863,PROXY
36,34.84.127.58,158.71810913085938,277.19593048095703,118.47782135009766,PROXY
37,34.84.127.58,159.210205078125,276.324987411499,117.11478233337402,PROXY
38,34.84.127.58,158.24413299560547,361.4931106567383,203.2489776611328,PROXY
39,34.84.127.58,157.2270393371582,358.45494270324707,201.22790336608887,PROXY
40,34.84.127.58,158.6320400238037,280.61389923095703,121.98185920715332,PROXY
41,34.84.127.58,157.87386894226074,277.50110626220703,119.62723731994629,PROXY
42,34.84.127.58,156.0971736907959,277.53400802612305,121.43683433532715,PROXY
43,34.84.127.58,158.51998329162598,279.99210357666016,121.47212028503418,PROXY
44,34.84.127.58,157.79590606689453,279.5429229736328,121.74701690673828,PROXY
45,34.84.127.58,157.25994110107422,284.78193283081055,127.52199172973633,PROXY
46,34.84.127.58,157.48310089111328,276.5681743621826,119.08507347106934,PROXY
47,34.84.127.58,157.15384483337402,277.4081230163574,120.2542781829834,PROXY
48,34.84.127.58,157.61804580688477,277.4190902709961,119.80104446411133,PROXY
49,34.84.127.58,155.9460163116455,276.66687965393066,120.72086334228516,PROXY
50,34.84.127.58,156.19993209838867,467.71883964538574,311.51890754699707,PROXY
51,34.84.127.58,156.21089935302734,468.85180473327637,312.640905380249,PROXY
52,34.84.127.58,157.35197067260742,446.64621353149414,289.2942428588867,PROXY
53,34.84.127.58,159.27386283874512,504.46581840515137,345.19195556640625,PROXY
54,34.84.127.58,156.38494491577148,507.9209804534912,351.5360355377197,PROXY
56,34.84.127.58,155.50804138183594,530.2050113677979,374.6969699859619,PROXY
57,34.84.127.58,158.5090160369873,534.1958999633789,375.6868839263916,PROXY
58,34.84.127.58,156.62908554077148,531.4640998840332,374.8350143432617,PROXY
59,34.84.127.58,157.80210494995117,542.5159931182861,384.71388816833496,PROXY
60,34.84.127.58,158.43486785888672,543.9150333404541,385.4801654815674,PROXY
61,34.84.127.58,157.58991241455078,538.0399227142334,380.4500102996826,PROXY
62,34.84.127.58,157.11402893066406,535.6841087341309,378.5700798034668,PROXY
63,34.84.127.58,156.16416931152344,533.6291790008545,377.46500968933105,PROXY
64,34.84.127.58,158.98394584655762,317.23904609680176,158.25510025024414,PROXY
65,34.84.127.58,156.40878677368164,320.4050064086914,163.99621963500977,PROXY
66,34.84.127.58,157.32979774475098,487.90502548217773,330.57522773742676,PROXY
67,34.84.127.58,156.07190132141113,501.0099411010742,344.9380397796631,PROXY
68,34.84.127.58,158.11991691589355,499.59683418273926,341.4769172668457,PROXY
69,34.84.127.58,158.4298610687256,300.9459972381592,142.5161361694336,PROXY
70,34.84.127.58,158.96201133728027,298.37584495544434,139.41383361816406,PROXY
71,34.84.127.58,158.76293182373047,280.1251411437988,121.36220932006836,PROXY
72,34.84.127.58,157.55677223205566,282.0138931274414,124.45712089538574,PROXY
73,34.84.127.58,155.8530330657959,285.5820655822754,129.7290325164795,PROXY
74,34.84.127.58,157.7780246734619,277.0071029663086,119.22907829284668,PROXY
75,34.84.127.58,157.17101097106934,276.9460678100586,119.77505683898926,PROXY
76,34.84.127.58,157.64284133911133,331.6769599914551,174.03411865234375,PROXY
77,34.84.127.58,158.7510108947754,330.42192459106445,171.67091369628906,PROXY
78,34.84.127.58,156.10408782958984,332.92198181152344,176.8178939819336,PROXY
79,34.84.127.58,156.2490463256836,331.04610443115234,174.79705810546875,PROXY
80,34.84.127.58,160.2039337158203,321.8197822570801,161.61584854125977,PROXY
81,34.84.127.58,157.52816200256348,279.4501781463623,121.92201614379883,PROXY
82,34.84.127.58,159.4541072845459,278.472900390625,119.0187931060791,PROXY
83,34.84.127.58,159.49106216430664,281.0070514678955,121.51598930358887,PROXY
84,34.84.127.58,158.10513496398926,278.14292907714844,120.03779411315918,PROXY
85,34.84.127.58,159.58404541015625,277.8468132019043,118.26276779174805,PROXY
86,34.84.127.58,156.0208797454834,279.9692153930664,123.94833564758301,PROXY
87,34.84.127.58,159.3010425567627,288.09285163879395,128.79180908203125,PROXY
88,34.84.127.58,157.8660011291504,283.0619812011719,125.19598007202148,PROXY
89,34.84.127.58,158.53190422058105,279.296875,120.76497077941895,PROXY
90,34.84.127.58,157.19199180603027,281.53204917907715,124.34005737304688,PROXY
91,34.84.127.58,156.57615661621094,275.88510513305664,119.3089485168457,PROXY
92,34.84.127.58,159.3170166015625,276.8990993499756,117.58208274841309,PROXY
93,34.84.127.58,159.4090461730957,277.32396125793457,117.91491508483887,PROXY
94,34.84.127.58,156.49700164794922,276.87716484069824,120.38016319274902,PROXY
95,34.84.127.58,157.43112564086914,277.98986434936523,120.5587387084961,PROXY
96,34.84.127.58,157.7160358428955,293.0798530578613,135.36381721496582,PROXY
97,34.84.127.58,159.1970920562744,279.1941165924072,119.99702453613281,PROXY
98,34.84.127.58,156.01491928100586,288.68699073791504,132.67207145690918,PROXY
99,34.84.127.58,158.23101997375488,276.6249179840088,118.3938980102539,PROXY
100,34.84.127.58,158.17904472351074,328.7200927734375,170.54104804992676,PROXY
101,34.84.127.58,158.46490859985352,302.72793769836426,144.26302909851074,PROXY
