sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
73,34.84.127.58,155.04908561706543,681.1599731445312,526.1108875274658,PROXY
74,34.84.127.58,157.16004371643066,283.9469909667969,126.78694725036621,PROXY
75,34.84.127.58,158.53404998779297,278.8209915161133,120.28694152832031,PROXY
76,34.84.127.58,155.95006942749023,280.99703788757324,125.04696846008301,PROXY
77,34.84.127.58,157.3810577392578,274.9800682067871,117.5990104675293,PROXY
78,34.84.127.58,157.84192085266113,277.19616889953613,119.354248046875,PROXY
79,34.84.127.58,159.3029499053955,283.7181091308594,124.41515922546387,PROXY
80,34.84.127.58,155.9469699859619,274.80506896972656,118.85809898376465,PROXY
81,34.84.127.58,159.3618392944336,282.08184242248535,122.72000312805176,PROXY
82,34.84.127.58,157.64498710632324,279.0648937225342,121.41990661621094,PROXY
83,34.84.127.58,158.30206871032715,276.9958972930908,118.69382858276367,PROXY
84,34.84.127.58,158.33806991577148,364.31097984313965,205.97290992736816,PROXY
85,34.84.127.58,155.3170680999756,280.2119255065918,124.89485740661621,PROXY
86,34.84.127.58,156.1579704284668,273.7400531768799,117.58208274841309,PROXY
87,34.84.127.58,155.68900108337402,274.05285835266113,118.36385726928711,PROXY
88,34.84.127.58,157.12499618530273,275.70295333862305,118.57795715332031,PROXY
89,34.84.127.58,156.68916702270508,272.36104011535645,115.67187309265137,PROXY
90,34.84.127.58,156.5268039703369,369.2290782928467,212.70227432250977,PROXY
91,34.84.127.58,157.0260524749756,338.00816535949707,180.98211288452148,PROXY
92,34.84.127.58,155.58409690856934,338.07992935180664,182.4958324432373,PROXY
93,34.84.127.58,157.14406967163086,334.1059684753418,176.96189880371094,PROXY
94,34.84.127.58,157.2251319885254,282.58395195007324,125.35881996154785,PROXY
95,34.84.127.58,157.45306015014648,280.0440788269043,122.59101867675781,PROXY
96,34.84.127.58,155.6720733642578,279.6740531921387,124.00197982788086,PROXY
97,34.84.127.58,157.9570770263672,276.49688720703125,118.53981018066406,PROXY
98,34.84.127.58,157.07993507385254,275.9079933166504,118.82805824279785,PROXY
99,34.84.127.58,157.58991241455078,283.54811668395996,125.95820426940918,PROXY
