sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
0,128.12.123.117,68.89510154724121,105.07512092590332,36.18001937866211,PROXY
1,128.12.123.117,73.51303100585938,73.49109649658203,-0.02193450927734375,PROXY
2,128.12.123.117,70.28794288635254,72.94988632202148,2.6619434356689453,PROXY
3,128.12.123.117,70.65892219543457,72.15690612792969,1.4979839324951172,PROXY
4,128.12.123.117,70.6489086151123,161.60106658935547,90.95215797424316,PROXY
5,128.12.123.117,71.92182540893555,114.17102813720703,42.249202728271484,PROXY
6,128.12.123.117,129.26411628723145,78.07707786560059,-51.18703842163086,PROXY
7,128.12.123.117,72.28517532348633,74.63788986206055,2.3527145385742188,PROXY
8,128.12.123.117,71.99788093566895,73.65298271179199,1.6551017761230469,PROXY
9,128.12.123.117,72.9818344116211,78.01699638366699,5.035161972045898,PROXY
10,128.12.123.117,73.34208488464355,83.19807052612305,9.855985641479492,PROXY
11,128.12.123.117,71.71201705932617,79.3769359588623,7.664918899536133,PROXY
12,128.12.123.117,72.15404510498047,73.79794120788574,1.6438961029052734,PROXY
13,128.12.123.117,71.33698463439941,72.66712188720703,1.3301372528076172,PROXY
14,128.12.123.117,71.69198989868164,126.15084648132324,54.4588565826416,PROXY
15,128.12.123.117,71.63190841674805,106.88591003417969,35.25400161743164,PROXY
16,128.12.123.117,118.9119815826416,78.42516899108887,-40.486812591552734,PROXY
17,128.12.123.117,70.14107704162598,74.27215576171875,4.131078720092773,PROXY
18,128.12.123.117,72.31998443603516,73.3790397644043,1.0590553283691406,PROXY
19,128.12.123.117,71.17915153503418,76.67207717895508,5.492925643920898,PROXY
20,128.12.123.117,70.64294815063477,76.98392868041992,6.340980529785156,PROXY
21,128.12.123.117,72.53789901733398,76.27606391906738,3.7381649017333984,PROXY
22,128.12.123.117,70.00994682312012,74.12219047546387,4.11224365234375,PROXY
23,128.12.123.117,69.74291801452637,74.18704032897949,4.444122314453125,PROXY
24,128.12.123.117,71.81906700134277,113.60001564025879,41.780948638916016,PROXY
25,128.12.123.117,160.5849266052246,74.5089054107666,-86.07602119445801,PROXY
26,128.12.123.117,104.5370101928711,74.83196258544922,-29.705047607421875,PROXY
27,128.12.123.117,71.47502899169922,73.86517524719238,2.390146255493164,PROXY
28,128.12.123.117,71.48003578186035,74.18417930603027,2.704143524169922,PROXY
29,128.12.123.117,71.42996788024902,74.65386390686035,3.223896026611328,PROXY
30,128.12.123.117,70.80411911010742,74.25403594970703,3.4499168395996094,PROXY
31,128.12.123.117,74.16296005249023,74.55301284790039,0.39005279541015625,PROXY
32,128.12.123.117,75.44898986816406,75.32882690429688,-0.1201629638671875,PROXY
33,128.12.123.117,71.00296020507812,74.06401634216309,3.061056137084961,PROXY
34,128.12.123.117,70.76716423034668,112.28084564208984,41.513681411743164,PROXY
35,128.12.123.117,119.80199813842773,76.98392868041992,-42.81806945800781,PROXY
36,128.12.123.117,71.82598114013672,78.6440372467041,6.818056106567383,PROXY
37,128.12.123.117,70.93405723571777,73.12798500061035,2.193927764892578,PROXY
38,128.12.123.117,70.65606117248535,74.67222213745117,4.01616096496582,PROXY
39,128.12.123.117,73.20284843444824,76.21407508850098,3.0112266540527344,PROXY
40,128.12.123.117,69.90289688110352,72.80802726745605,2.905130386352539,PROXY
