sid,client_ip,tcp_rtt_ms,tls_rtt_ms,diff_ms,type
25,10.142.0.2,0.13899803161621094,7.460117340087891,7.32111930847168,PROXY
134,34.84.127.58,252.86006927490234,331.3751220703125,78.51505279541016,PROXY
138,34.84.127.58,252.0148754119873,278.6529064178467,26.638031005859375,PROXY
144,34.84.127.58,252.5639533996582,282.1669578552246,29.603004455566406,PROXY
146,34.84.127.58,253.59010696411133,285.42208671569824,31.831979751586914,PROXY
148,34.84.127.58,269.4659233093262,287.384033203125,17.918109893798828,PROXY
166,34.84.127.58,254.18901443481445,334.043025970459,79.85401153564453,PROXY
168,34.84.127.58,252.84290313720703,304.5790195465088,51.73611640930176,PROXY
171,34.84.127.58,251.49202346801758,279.8779010772705,28.38587760925293,PROXY
172,34.84.127.58,252.4700164794922,279.9210548400879,27.451038360595703,PROXY
173,34.84.127.58,251.46198272705078,282.2408676147461,30.778884887695312,PROXY
195,34.84.127.58,252.57301330566406,281.6450595855713,29.072046279907227,PROXY
197,34.84.127.58,252.20608711242676,281.8629741668701,29.65688705444336,PROXY
199,34.84.127.58,251.65200233459473,283.82396697998047,32.17196464538574,PROXY
202,34.84.127.58,253.82614135742188,290.9700870513916,37.14394569396973,PROXY
206,34.84.127.58,251.48701667785645,279.15096282958984,27.6639461517334,PROXY
224,34.84.127.58,250.97107887268066,279.08802032470703,28.116941452026367,PROXY
225,34.84.127.58,252.89011001586914,279.84118461608887,26.951074600219727,PROXY
228,34.84.127.58,249.12405014038086,276.95488929748535,27.830839157104492,PROXY
229,34.84.127.58,252.3360252380371,279.97303009033203,27.637004852294922,PROXY
232,34.84.127.58,252.74300575256348,280.94482421875,28.201818466186523,PROXY
242,34.84.127.58,250.4730224609375,278.22113037109375,27.74810791015625,PROXY
244,34.84.127.58,251.3279914855957,276.96800231933594,25.640010833740234,PROXY
246,34.84.127.58,247.98083305358887,285.34793853759766,37.36710548400879,PROXY
247,34.84.127.58,253.77893447875977,280.19189834594727,26.4129638671875,PROXY
248,34.84.127.58,250.82993507385254,278.7799835205078,27.950048446655273,PROXY
260,34.84.127.58,253.75914573669434,283.13183784484863,29.372692108154297,PROXY
261,34.84.127.58,252.02107429504395,284.47413444519043,32.453060150146484,PROXY
262,34.84.127.58,249.6352195739746,282.5050354003906,32.869815826416016,PROXY
263,34.84.127.58,252.59995460510254,279.5689105987549,26.968955993652344,PROXY
265,34.84.127.58,253.7398338317871,282.32312202453613,28.583288192749023,PROXY
274,34.84.127.58,249.5889663696289,281.6629409790039,32.073974609375,PROXY
275,34.84.127.58,253.27491760253906,281.30197525024414,28.027057647705078,PROXY
277,34.84.127.58,249.7999668121338,285.05682945251465,35.25686264038086,PROXY
278,34.84.127.58,251.97410583496094,281.4459800720215,29.471874237060547,PROXY
279,34.84.127.58,249.5880126953125,278.5801887512207,28.992176055908203,PROXY
289,34.84.127.58,251.66988372802734,280.90500831604004,29.235124588012695,PROXY
290,34.84.127.58,255.3880214691162,287.71090507507324,32.32288360595703,PROXY
300,34.84.127.58,251.06191635131836,288.6390686035156,37.577152252197266,PROXY
301,34.84.127.58,251.30915641784668,296.18191719055176,44.87276077270508,PROXY
302,34.84.127.58,253.4339427947998,299.9989986419678,46.56505584716797,PROXY
309,34.84.127.58,251.68681144714355,284.0120792388916,32.32526779174805,PROXY
310,34.84.127.58,253.93319129943848,281.16393089294434,27.23073959350586,PROXY
317,34.84.127.58,251.7249584197998,297.6059913635254,45.881032943725586,PROXY
318,34.84.127.58,253.2038688659668,293.5678958892822,40.36402702331543,PROXY
321,34.84.127.58,248.2471466064453,273.51999282836914,25.272846221923828,PROXY
332,34.84.127.58,251.4970302581787,285.42280197143555,33.925771713256836,PROXY
333,34.84.127.58,252.8817653656006,283.1258773803711,30.244112014770508,PROXY
338,34.84.127.58,248.39520454406738,306.049108505249,57.65390396118164,PROXY
339,34.84.127.58,254.70709800720215,299.15809631347656,44.450998306274414,PROXY
340,34.84.127.58,253.06200981140137,300.0450134277344,46.98300361633301,PROXY
347,34.84.127.58,251.97315216064453,282.6721668243408,30.69901466369629,PROXY
348,34.84.127.58,254.20498847961426,281.1591625213623,26.954174041748047,PROXY
354,34.84.127.58,247.54691123962402,339.7679328918457,92.22102165222168,PROXY
355,34.84.127.58,249.82380867004395,332.98397064208984,83.1601619720459,PROXY
357,34.84.127.58,251.44481658935547,329.38122749328613,77.93641090393066,PROXY
369,34.84.127.58,250.2269744873047,282.86004066467285,32.633066177368164,PROXY
